epoch,acc_test,acc_train
293,0.9095,0.97
294,0.9286,0.96
295,0.9426,0.97
296,0.9244,0.98
297,0.9365,0.97
298,0.8833,0.96
299,0.948,0.95
300,0.9399,0.98
301,0.9434,0.98
302,0.9398,0.97
303,0.9049,0.92
304,0.9414,0.95
305,0.9071,0.99
306,0.9479,1.0
307,0.9463,0.98
308,0.9406,0.97
309,0.9431,0.99
310,0.9344,0.95
311,0.9342,0.97
312,0.9349,0.97
313,0.8953,0.98
314,0.9475,1.0
315,0.947,0.98
316,0.9503,0.99
317,0.9541,1.0
318,0.9251,0.97
319,0.9491,0.97
320,0.941,1.0
321,0.9339,0.99
322,0.9439,0.99
323,0.9313,0.97
324,0.9451,1.0
325,0.9504,1.0
326,0.9538,0.99
327,0.9548,1.0
328,0.9532,0.99
329,0.9537,1.0
330,0.9274,0.94
331,0.9544,0.99
332,0.9194,0.98
333,0.9519,0.97
334,0.9336,0.98
335,0.9529,0.92
336,0.9553,0.99
337,0.9549,1.0
338,0.9209,0.92
339,0.9232,0.91
340,0.949,1.0
341,0.9345,0.96
342,0.9435,1.0
343,0.9132,0.97
344,0.9549,0.98
345,0.9553,1.0
346,0.9484,0.97
347,0.9443,0.98
348,0.9046,0.91
349,0.9484,0.99
350,0.9522,0.97
351,0.9525,0.97
352,0.9507,1.0
353,0.9593,1.0
354,0.957,1.0
355,0.9494,1.0
356,0.9482,0.97
357,0.9495,0.99
358,0.9598,0.99
359,0.9623,0.99
360,0.9568,1.0
361,0.9609,1.0
362,0.9294,0.95
363,0.9601,0.99
364,0.9622,0.99
365,0.9644,1.0
366,0.9179,0.99
367,0.9632,0.99
368,0.9654,1.0
369,0.9622,1.0
370,0.9629,1.0
371,0.9576,1.0
372,0.9622,1.0
373,0.9579,1.0
374,0.9216,0.98
375,0.9626,1.0
376,0.9577,1.0
377,0.9348,0.99
378,0.9413,0.93
379,0.9616,0.96
380,0.9565,0.99
381,0.9533,0.99
382,0.9657,1.0
383,0.9639,1.0
384,0.9657,1.0
385,0.9664,1.0
386,0.9631,0.99
387,0.9631,0.97
388,0.9589,1.0
389,0.9592,1.0
390,0.9642,1.0
391,0.958,0.99
392,0.9654,1.0
393,0.9672,1.0
394,0.9693,1.0
395,0.9641,1.0
396,0.9672,1.0
397,0.9649,0.99
398,0.9616,1.0
399,0.9678,1.0
400,0.958,0.98
