epoch,acc_test,acc_train
1,0.1111111111111111,0.13636363636363635
2,0.1111111111111111,0.18085106382978725
3,0.1111111111111111,0.22580645161290322
4,0.1111111111111111,0.22727272727272727
5,0.1111111111111111,0.1348314606741573
6,0.1111111111111111,0.16483516483516483
7,0.1111111111111111,0.16129032258064516
8,0.1111111111111111,0.1595744680851064
9,0.1111111111111111,0.16483516483516483
10,0.12177777777777778,0.2222222222222222
11,0.1111111111111111,0.1511627906976744
12,0.1111111111111111,0.14606741573033707
13,0.1111111111111111,0.18478260869565216
14,0.11122222222222222,0.14285714285714285
15,0.1111111111111111,0.1875
16,0.1111111111111111,0.17391304347826086
17,0.1111111111111111,0.17045454545454544
18,0.1111111111111111,0.2111111111111111
19,0.1111111111111111,0.13793103448275862
20,0.1111111111111111,0.18681318681318682
21,0.1111111111111111,0.13636363636363635
22,0.1111111111111111,0.15053763440860216
23,0.1111111111111111,0.14606741573033707
24,0.1111111111111111,0.18085106382978725
25,0.1111111111111111,0.13186813186813187
26,0.1111111111111111,0.20652173913043478
27,0.1111111111111111,0.18888888888888888
28,0.11155555555555556,0.12359550561797752
29,0.1111111111111111,0.14130434782608695
30,0.1111111111111111,0.14772727272727273
31,0.1111111111111111,0.18681318681318682
32,0.1111111111111111,0.16304347826086957
33,0.1111111111111111,0.1595744680851064
34,0.1111111111111111,0.13043478260869565
35,0.1111111111111111,0.12790697674418605
36,0.1111111111111111,0.16853932584269662
37,0.1111111111111111,0.18681318681318682
38,0.1111111111111111,0.18888888888888888
39,0.1111111111111111,0.1797752808988764
40,0.1111111111111111,0.14634146341463414
41,0.1111111111111111,0.15730337078651685
42,0.1111111111111111,0.18681318681318682
43,0.11077777777777778,0.14457831325301204
44,0.1111111111111111,0.2087912087912088
45,0.1111111111111111,0.18478260869565216
46,0.1111111111111111,0.17777777777777778
47,0.11122222222222222,0.16666666666666666
48,0.1111111111111111,0.15555555555555556
49,0.1111111111111111,0.15730337078651685
50,0.1111111111111111,0.1956521739130435
51,0.1111111111111111,0.19101123595505617
52,0.11866666666666667,0.1744186046511628
53,0.1111111111111111,0.17204301075268819
54,0.17466666666666666,0.20238095238095238
55,0.15977777777777777,0.17525773195876287
56,0.1111111111111111,0.17204301075268819
57,0.1308888888888889,0.18681318681318682
58,0.18455555555555556,0.27586206896551724
59,0.11166666666666666,0.21176470588235294
60,0.11611111111111111,0.1827956989247312
61,0.12566666666666668,0.12903225806451613
62,0.11366666666666667,0.18888888888888888
63,0.1111111111111111,0.21348314606741572
64,0.16677777777777777,0.2696629213483146
65,0.1368888888888889,0.19540229885057472
66,0.20533333333333334,0.26666666666666666
67,0.12577777777777777,0.2159090909090909
68,0.18022222222222223,0.26744186046511625
69,0.21366666666666667,0.29347826086956524
70,0.18766666666666668,0.2857142857142857
71,0.1837777777777778,0.23076923076923078
72,0.1448888888888889,0.19318181818181818
73,0.1691111111111111,0.2413793103448276
74,0.18444444444444444,0.27472527472527475
75,0.17122222222222222,0.2558139534883721
76,0.19466666666666665,0.2413793103448276
77,0.17744444444444443,0.2765957446808511
78,0.1811111111111111,0.2087912087912088
79,0.21077777777777779,0.22727272727272727
80,0.20766666666666667,0.24719101123595505
81,0.1991111111111111,0.23655913978494625
82,0.21944444444444444,0.21739130434782608
83,0.22411111111111112,0.2826086956521739
84,0.23777777777777778,0.35789473684210527
85,0.2041111111111111,0.25
86,0.20422222222222222,0.20224719101123595
87,0.21122222222222223,0.2727272727272727
88,0.19166666666666668,0.30851063829787234
89,0.24066666666666667,0.2604166666666667
90,0.20866666666666667,0.3023255813953488
91,0.22555555555555556,0.20224719101123595
92,0.231,0.27956989247311825
93,0.24688888888888888,0.358695652173913
94,0.19855555555555557,0.3181818181818182
95,0.22233333333333333,0.3181818181818182
96,0.22455555555555556,0.29545454545454547
97,0.26655555555555555,0.3333333333333333
98,0.2461111111111111,0.3409090909090909
99,0.2531111111111111,0.3409090909090909
100,0.22766666666666666,0.3146067415730337
101,0.2467777777777778,0.3111111111111111
102,0.1761111111111111,0.23076923076923078
103,0.21655555555555556,0.32608695652173914
104,0.22111111111111112,0.3516483516483517
105,0.2618888888888889,0.29347826086956524
106,0.22877777777777777,0.3695652173913043
107,0.24288888888888888,0.2857142857142857
108,0.2331111111111111,0.3333333333333333
109,0.24022222222222223,0.3707865168539326
110,0.2467777777777778,0.3626373626373626
111,0.22077777777777777,0.27586206896551724
112,0.20244444444444445,0.26595744680851063
113,0.2698888888888889,0.3258426966292135
114,0.24655555555555556,0.3191489361702128
115,0.2378888888888889,0.29213483146067415
116,0.22822222222222222,0.23404255319148937
117,0.2061111111111111,0.3146067415730337
118,0.25455555555555553,0.35714285714285715
119,0.26311111111111113,0.34782608695652173
120,0.24533333333333332,0.2872340425531915
121,0.2856666666666667,0.32954545454545453
122,0.25866666666666666,0.3333333333333333
123,0.22144444444444444,0.3645833333333333
124,0.2308888888888889,0.2916666666666667
125,0.25833333333333336,0.25274725274725274
126,0.254,0.29545454545454547
127,0.266,0.3229166666666667
128,0.23277777777777778,0.38636363636363635
129,0.2521111111111111,0.2840909090909091
130,0.25222222222222224,0.34831460674157305
131,0.21688888888888888,0.37777777777777777
132,0.24833333333333332,0.3793103448275862
133,0.2111111111111111,0.31868131868131866
134,0.24711111111111111,0.3068181818181818
135,0.2431111111111111,0.29213483146067415
136,0.22277777777777777,0.3191489361702128
137,0.2081111111111111,0.31521739130434784
138,0.24955555555555556,0.3068181818181818
139,0.23522222222222222,0.3548387096774194
140,0.2692222222222222,0.3218390804597701
141,0.27111111111111114,0.32978723404255317
142,0.2654444444444444,0.29213483146067415
143,0.2587777777777778,0.32222222222222224
144,0.278,0.36470588235294116
145,0.2806666666666667,0.3258426966292135
146,0.266,0.35714285714285715
147,0.26666666666666666,0.38461538461538464
148,0.26466666666666666,0.3263157894736842
149,0.27944444444444444,0.34782608695652173
150,0.2826666666666667,0.45555555555555555
151,0.261,0.38461538461538464
152,0.2867777777777778,0.3076923076923077
153,0.29344444444444445,0.2696629213483146
154,0.25466666666666665,0.3333333333333333
155,0.2838888888888889,0.33695652173913043
156,0.2986666666666667,0.32967032967032966
157,0.2823333333333333,0.3191489361702128
158,0.2712222222222222,0.28888888888888886
159,0.24966666666666668,0.3333333333333333
160,0.25722222222222224,0.24731182795698925
161,0.2708888888888889,0.34065934065934067
